#,Title,Type,Chrono Setting,Notes,Runtime (min)
1,Eyes of Wakanda (Season 1),Animated Series,1260 BC - 1896 AD,Earliest-set MCU project; Disney+ ranks it #1 on the official timeline,118
2,Captain America: The First Avenger,Film,1943 - 1945,Framing scenes in 2011,124
3,Agent Carter,One-Shot,1946,,15
4,Agent Carter (Season 1),Marvel Television,1946,ABC - Follows the Agent Carter one-shot,333
5,Agent Carter (Season 2),Marvel Television,1947,ABC - Darkforce introduced,424
6,Captain Marvel,Film,1995,Post-credits jumps to 2018,124
7,Iron Man,Film,2010,,126
8,Iron Man 2,Film,2011,Overlaps Hulk and Thor,124
9,The Incredible Hulk,Film,2011,,112
10,The Consultant,One-Shot,2011,Ties Hulk to Thor,4
11,Thor,Film,2011,,115
12,A Funny Thing Happened on the Way to Thor's Hammer,One-Shot,2011,,4
13,The Avengers,Film,2012,,143
14,Item 47,One-Shot,2012,,12
15,Iron Man 3,Film,2012 - 2013,Christmas setting,130
16,Thor: The Dark World,Film,2013,,112
17,All Hail the King,One-Shot,2014,,14
18,Captain America: The Winter Soldier,Film,2014,,136
19,Agents of S.H.I.E.L.D. (Season 1),Marvel Television,2014,ABC - Overlaps Winter Soldier; HYDRA reveal,935
20,Guardians of the Galaxy,Film,1988 / 2014,Prologue in 1988,122
21,I Am Groot (Season 1),Animated Series,2014,Baby Groot; between Vol. 1 and Vol. 2,25
22,I Am Groot (Season 2),Animated Series,2014,Baby Groot; between Vol. 1 and Vol. 2,25
23,Guardians of the Galaxy Vol. 2,Film,2014,Months after Vol. 1,136
24,Agents of S.H.I.E.L.D. (Season 2),Marvel Television,2014 - 2015,ABC - Inhumans / Terrigen introduced,941
25,Avengers: Age of Ultron,Film,2015,,141
26,Daredevil (Season 1),Marvel Television,2015,Netflix - The Hand groundwork; post-Avengers NYC,679
27,Jessica Jones (Season 1),Marvel Television,2015,Netflix,670
28,Agents of S.H.I.E.L.D. (Season 3),Marvel Television,2015 - 2016,ABC - Secret Warriors,941
29,Ant-Man,Film,2015,,117
30,Daredevil (Season 2),Marvel Television,2016,Netflix - Introduces Punisher and Elektra; The Hand,690
31,Luke Cage (Season 1),Marvel Television,2016,Netflix,703
32,Team Thor,One-Shot,2016,Runs parallel to Civil War,3
33,Team Thor: Part 2,One-Shot,2016,,5
34,Team Darryl,One-Shot,2017,,6
35,Captain America: Civil War,Film,2016,,147
36,Black Widow,Film,1995 / 2016,Ohio prologue in 1995; main story right after Civil War,134
37,Black Panther,Film,2016,One week after Civil War,134
38,Spider-Man: Homecoming,Film,2016,,133
39,Doctor Strange,Film,2016 - 2017,,115
40,Agents of S.H.I.E.L.D. (Season 4),Marvel Television,2016 - 2017,"ABC - DARKHOLD arc; Ghost Rider, LMDs, Framework",941
41,Iron Fist (Season 1),Marvel Television,2016,Netflix - K'un-Lun and The Hand,703
42,The Defenders (Season 1),Marvel Television,2016,Netflix - The Hand crossover event,393
43,Inhumans (Season 1),Marvel Television,2017,ABC - Attilan; ties to AoS Inhumans arc,338
44,Thor: Ragnarok,Film,2017,,130
45,The Punisher (Season 1),Marvel Television,2017,Netflix - Frank Castle solo,675
46,Runaways (Season 1),Marvel Television,2017,Hulu,493
47,Agents of S.H.I.E.L.D. (Season 5),Marvel Television,2018 / 2091,ABC - Future arc; ends at the Snap,934
48,Ant-Man and the Wasp,Film,2018,Ends at the Snap,118
49,Jessica Jones (Season 2),Marvel Television,2018,Netflix,665
50,Cloak & Dagger (Season 1),Marvel Television,2018,Freeform - Darkforce powers,418
51,Luke Cage (Season 2),Marvel Television,2018,Netflix,752
52,Iron Fist (Season 2),Marvel Television,2018,Netflix,516
53,Daredevil (Season 3),Marvel Television,2018,Netflix - Bullseye; leads into Born Again,648
54,Runaways (Season 2),Marvel Television,2018,Hulu,615
55,The Punisher (Season 2),Marvel Television,2019,Netflix,671
56,Cloak & Dagger (Season 2),Marvel Television,2019,Freeform - Crosses over with Runaways,417
57,Jessica Jones (Season 3),Marvel Television,2019,Netflix,652
58,Runaways (Season 3),Marvel Television,2019,Hulu - Cloak & Dagger crossover,481
59,Agents of S.H.I.E.L.D. (Season 6),Marvel Television,2019,ABC - Timeline begins diverging,548
60,Agents of S.H.I.E.L.D. (Season 7),Marvel Television,1931 - 2019,ABC - Time travel; splits into its own branch timeline,553
61,Helstrom (Season 1),Marvel Television,2020,Hulu - Loosest canon tie of the group,499
62,Avengers: Infinity War,Film,2018,The Snap,149
63,Werewolf by Night,Special Presentation,Unspecified,Placement debated,53
64,Avengers: Endgame,Film,2018 / 2023,"Five-year jump, the Blip",181
65,Loki (Season 1),TV Series,Outside time,"TVA, branches from Endgame 2012",291
66,Loki (Season 2),TV Series,Outside time,,307
67,WandaVision (Season 1),TV Series,2023,Three weeks after Endgame,349
68,The Falcon and the Winter Soldier (Season 1),TV Series,2024,Six months after Endgame,316
69,Shang-Chi and the Legend of the Ten Rings,Film,2024,,132
70,Agatha All Along (Season 1),TV Series,2026,Three years after WandaVision,368
71,Spider-Man: Far From Home,Film,2024,Summer after Endgame,129
,Peter's To-Do List,One-Shot,2024,Home video short; same setting as Far From Home,4
73,Eternals,Film,5000 BC - 2024,"Flashbacks to 5000 BC, but Disney+ places it here by its modern-day story",156
74,Ms. Marvel (Season 1),TV Series,2025,,285
75,Hawkeye (Season 1),TV Series,2024,Christmas after Far From Home,288
76,Moon Knight (Season 1),TV Series,2025,Placement loose,290
77,Spider-Man: No Way Home,Film,2024 - 2025,,148
78,Doctor Strange in the Multiverse of Madness,Film,2025,Directly after No Way Home,126
79,Thor: Love and Thunder,Film,2025,,119
80,She-Hulk: Attorney at Law (Season 1),TV Series,2025,,306
81,Black Panther: Wakanda Forever,Film,2025,,161
82,The Guardians of the Galaxy Holiday Special,Special Presentation,2025,Christmas,42
83,Echo (Season 1),TV Series,2025,Starts after Hawkeye,218
84,Daredevil: Born Again (Season 1),TV Series,2026,,426
85,Daredevil: Born Again (Season 2),TV Series,2026,,360
86,The Punisher: One Last Kill,Special Presentation,2026,,48
87,Secret Invasion (Season 1),TV Series,2025 - 2026,,284
88,The Marvels,Film,2026,Directly after Secret Invasion,105
89,Ant-Man and the Wasp: Quantumania,Film,2026,,124
90,Guardians of the Galaxy Vol. 3,Film,2026,,150
91,Deadpool & Wolverine,Film,2024 - 2026,"Void / TVA, loose placement",128
92,Captain America: Brave New World,Film,2027,,118
93,Thunderbolts*,Film,2027,Ends with the New Avengers,126
94,Ironheart (Season 1),TV Series,2027,,289
95,Wonder Man (Season 1),TV Series,2027,,250
96,VisionQuest (Season 1),TV Series,2027,,240
97,Spider-Man: Brand New Day,Film,2027,Jean Grey debut; DODC gains the universal power inhibitor,145
98,The Fantastic Four: First Steps,Film,1960s (Earth-828),Separate universe,115
99,Avengers: Doomsday,Film,TBD,UPCOMING; set ~14 months after Thunderbolts*,165
100,Avengers: Secret Wars,Film,TBD,UPCOMING; Multiverse Saga finale,
101,Black Panther 3,Film,TBD,UPCOMING; next-generation Black Panther,
102,Ghost Rider,Film,TBD,UPCOMING; no placement announced,
103,X-Men (MCU reboot),Film,TBD,UPCOMING; no date or placement announced,
104,Wonder Man (Season 2),TV Series,TBD,UPCOMING,
105,--- OUTSIDE THE SACRED TIMELINE (no 616 placement) ---,Animated Series,n/a,Everything below is a separate universe and can be watched at any point,
106,What If...? (Season 1),Animated Series,Multiverse,Branch realities spun off the Sacred Timeline,294
107,What If...? (Season 2),Animated Series,Multiverse,,289
108,What If...? (Season 3),Animated Series,Multiverse,,254
109,X-Men '97 (Season 1),Animated Series,1990s (own timeline),Continues X-Men: The Animated Series,334
110,X-Men '97 (Season 2),Animated Series,1990s (own timeline),,297
111,Your Friendly Neighborhood Spider-Man (Season 1),Animated Series,Own timeline,Alternate Peter Parker origin,300
112,Spider-Noir (Season 1),TV Series,1930s (own timeline),Noir universe,344
