#,Title / Franchise,Type,First Release,First Phase,Entries Included
1,Iron Man,Film,2008-05-02,Phase 1,3 entries
2,The Incredible Hulk,Film,2008-06-13,Phase 1,1 entry
3,Thor,Film,2011-05-06,Phase 1,4 entries
4,Captain America,Film,2011-07-22,Phase 1,4 entries
5,Marvel One-Shots,One-Shot,2011-09-13,Phase 1,5 entries
6,Avengers,Film,2012-05-04,Phase 1,6 entries
7,Agents of S.H.I.E.L.D.,Marvel Television,2013-09-24,Marvel Television,7 entries
8,Guardians of the Galaxy,Film,2014-08-01,Phase 2,4 entries
9,Agent Carter,Marvel Television,2015-01-06,Marvel Television,2 entries
10,Daredevil,Marvel Television,2015-04-10,Marvel Television,3 entries
11,Ant-Man,Film,2015-07-17,Phase 2,3 entries
12,Jessica Jones,Marvel Television,2015-11-20,Marvel Television,3 entries
13,Team Thor,One-Shot,2016-08-28,Phase 3,3 entries
14,Luke Cage,Marvel Television,2016-09-30,Marvel Television,2 entries
15,Doctor Strange,Film,2016-11-04,Phase 3,2 entries
16,Iron Fist,Marvel Television,2017-03-17,Marvel Television,2 entries
17,Spider-Man,Film,2017-07-07,Phase 3,4 entries
18,The Defenders,Marvel Television,2017-08-18,Marvel Television,1 entry
19,Inhumans,Marvel Television,2017-09-29,Marvel Television,1 entry
20,The Punisher,Marvel Television,2017-11-17,Marvel Television,3 entries
21,Runaways,Marvel Television,2017-11-21,Marvel Television,3 entries
22,Black Panther,Film,2018-02-16,Phase 3,3 entries
23,Cloak & Dagger,Marvel Television,2018-06-07,Marvel Television,2 entries
24,Captain Marvel,Film,2019-03-08,Phase 3,2 entries
25,Helstrom,Marvel Television,2020-10-16,Marvel Television,1 entry
26,WandaVision,TV Series,2021-01-15,Phase 4,1 entry
27,The Falcon and the Winter Soldier,TV Series,2021-03-19,Phase 4,1 entry
28,Loki,TV Series,2021-06-09,Phase 4,2 entries
29,Black Widow,Film,2021-07-09,Phase 4,1 entry
30,What If...?,Animated Series,2021-08-11,Phase 4,3 entries
31,Shang-Chi,Film,2021-09-03,Phase 4,1 entry
32,Eternals,Film,2021-11-05,Phase 4,1 entry
33,Hawkeye,TV Series,2021-11-24,Phase 4,1 entry
34,Moon Knight,TV Series,2022-03-30,Phase 4,1 entry
35,Ms. Marvel,TV Series,2022-06-08,Phase 4,1 entry
36,I Am Groot,Animated Series,2022-08-10,Phase 4,2 entries
37,She-Hulk,TV Series,2022-08-18,Phase 4,1 entry
38,Werewolf by Night,Special Presentation,2022-10-07,Phase 4,1 entry
39,Secret Invasion,TV Series,2023-06-21,Phase 5,1 entry
40,Echo,TV Series,2024-01-09,Phase 5,1 entry
41,X-Men '97,Animated Series,2024-03-20,Phase 5,2 entries
42,Deadpool,Film,2024-07-26,Phase 5,1 entry
43,Agatha All Along,TV Series,2024-09-18,Phase 5,1 entry
44,Your Friendly Neighborhood Spider-Man,Animated Series,2025-01-29,Phase 5,1 entry
45,Daredevil: Born Again,TV Series,2025-03-04,Phase 5,2 entries
46,Thunderbolts,Film,2025-05-02,Phase 5,1 entry
47,Ironheart,TV Series,2025-06-24,Phase 5,1 entry
48,Fantastic Four,Film,2025-07-25,Phase 6,1 entry
49,Eyes of Wakanda,Animated Series,2025-08-01,Phase 6,1 entry
50,Wonder Man,TV Series,2026-01-27,Phase 6,2 entries
51,Spider-Noir,TV Series,2026-05-27,Phase 6,1 entry
52,VisionQuest,TV Series,2026-10-14,Phase 6,1 entry
53,Untitled 2027,Film,2027-07-00,Phase 6,1 entry
54,Ghost Rider (MCU),Film,2028-00-00,TBD,1 entry
55,Untitled 2028 Feb,Film,2028-02-18,TBD,1 entry
56,Untitled 2028 May,Film,2028-05-05,TBD,1 entry
57,Untitled 2028 Nov,Film,2028-11-10,TBD,1 entry
58,Untitled 2029 A,Film,2029-00-00,TBD,1 entry
59,Untitled 2029 B,Film,2029-00-01,TBD,1 entry
60,X-Men (MCU),Film,TBD,TBD,1 entry
