Universe / Studio,Title,In-Universe Setting,Release Date,Runtime (min),Notes
Fox X-Men / Deadpool (Earth-10005),,,,,
,X-Men Origins: Wolverine,1845 - 1979,2009-05-01,126,Largely retconned later
,X-Men: First Class,1944 / 1962,2011-06-03,132,Cuban Missile Crisis
,X-Men,2000,2000-07-14,104,
,X2: X-Men United,2003,2003-05-02,134,
,X-Men: The Last Stand,2006,2006-05-26,104,First Dark Phoenix arc
,The Wolverine,2013,2013-07-26,126,
,X-Men: Days of Future Past,1973 / 2023,2014-05-23,132,SPLIT POINT: 1973 rewrite rebuilds timeline
,X-Men: Apocalypse,1983,2016-05-27,144,Post-split
,Dark Phoenix,1992,2019-06-07,113,Post-split; second Dark Phoenix arc
,The New Mutants,2010s,2020-08-28,94,Placement loose
,Deadpool,2016,2016-02-12,108,Wade Wilson's origin
,Deadpool 2,2018,2018-05-18,119,Time travel; Cable
,Logan,2029,2017-03-03,137,End of the Fox timeline
,-> Deadpool & Wolverine,2024 / TVA,2024-07-26,128,SEE FILMS TAB: Wade crosses into Sacred Timeline
Fox Fantastic Four & Daredevil (each its own continuity),,,,,
,The Fantastic Four (Corman),contemporary,1994,-,Never officially released
,Daredevil,contemporary,2003-02-14,103,Affleck version
,Elektra,contemporary,2005-01-14,97,Daredevil spin-off
,Fantastic Four,contemporary,2005-07-08,106,
,Fantastic Four: Rise of the Silver Surfer,contemporary,2007-06-15,92,
,Fantastic Four (Trank),contemporary,2015-08-07,100,aka Fant4stic; own continuity
,-> The Fantastic Four: First Steps,1960s,2025-07-25,115,"SEE FILMS TAB: MCU, Earth-828, unrelated to above"
Sony Live-Action Spider-Man (Raimi / Webb / SSU),,,,,
,Spider-Man,2002,2002-05-03,121,RAIMI (Earth-96283)
,Spider-Man 2,2004,2004-06-30,127,Raimi
,Spider-Man 3,2007,2007-05-04,139,Raimi; first live-action Venom
,The Amazing Spider-Man,2012,2012-07-03,136,WEBB (Earth-120703)
,The Amazing Spider-Man 2,2014,2014-05-02,142,Webb
,Madame Web,1973 / 2003,2024-02-14,116,SSU; earliest SSU setting
,Venom,2018,2018-10-05,112,"SSU; universe ambiguous, see notes"
,Venom: Let There Be Carnage,2021,2021-10-01,97,SSU; post-credits briefly crosses into MCU
,Morbius,2022,2022-04-01,104,SSU; Keaton's Toomes appears
,Kraven the Hunter,contemporary,2024-12-13,127,SSU
,Venom: The Last Dance,2024,2024-10-25,109,SSU
,-> Spider-Man: No Way Home,2024,2021-12-17,148,SEE FILMS TAB: Maguire and Garfield both cross over
Sony Spider-Verse (Animated),,,,,
,Spider-Man: Into the Spider-Verse,contemporary,2018-12-14,117,
,Spider-Man: Across the Spider-Verse,contemporary,2023-06-02,140,
,Spider-Man: Beyond the Spider-Verse,contemporary,2027-06-04,TBD,Delayed repeatedly; currently dated
Pre-MCU Marvel Films (each its own continuity),,,,,
,Captain America,1943 / 1993,1990,97,Direct to video in the US
,Howard the Duck,1986,1986-08-01,110,
,The Punisher (Lundgren),1989,1989,89,
,Blade,1998,1998-08-21,120,
,Blade II,2002,2002-03-22,117,
,Hulk (Ang Lee),2003,2003-06-20,138,Unrelated to The Incredible Hulk
,The Punisher,2004,2004-04-16,124,
,Blade: Trinity,2004,2004-12-08,113,
,Man-Thing,2005,2005-04-30,98,
,Ghost Rider,2007,2007-02-16,114,
,Punisher: War Zone,2008,2008-12-05,107,
,Ghost Rider: Spirit of Vengeance,2012,2012-02-17,95,
