Show,Type,Episode #,Episode Title,Runtime (min),Flag
WandaVision S1,TV Series,1,Filmed Before a Live Studio Audience,30,
WandaVision S1,TV Series,2,Don't Touch That Dial,37,
WandaVision S1,TV Series,3,Now in Color,33,
WandaVision S1,TV Series,4,We Interrupt This Program,35,
WandaVision S1,TV Series,5,On a Very Special Episode…,42,
WandaVision S1,TV Series,6,All-New Halloween Spooktacular!,38,
WandaVision S1,TV Series,7,Breaking the Fourth Wall,38,
WandaVision S1,TV Series,8,Previously On,46,
WandaVision S1,TV Series,9,The Series Finale,50,
The Falcon and the Winter Soldier S1,TV Series,1,New World Order,49,
The Falcon and the Winter Soldier S1,TV Series,2,The Star-Spangled Man,50,
The Falcon and the Winter Soldier S1,TV Series,3,Power Broker,53,
The Falcon and the Winter Soldier S1,TV Series,4,The Whole World Is Watching,53,
The Falcon and the Winter Soldier S1,TV Series,5,Truth,60,
The Falcon and the Winter Soldier S1,TV Series,6,"One World, One People",51,
Loki S1,TV Series,1,Glorious Purpose,52,
Loki S1,TV Series,2,The Variant,54,
Loki S1,TV Series,3,Lamentis,42,
Loki S1,TV Series,4,The Nexus Event,48,
Loki S1,TV Series,5,Journey into Mystery,49,
Loki S1,TV Series,6,For All Time. Always.,46,
What If...? S1,Animated Series,1,...Captain Carter Were the First Avenger?,33,
What If...? S1,Animated Series,2,...T'Challa Became a Star-Lord?,32,
What If...? S1,Animated Series,3,...the World Lost Its Mightiest Heroes?,32,
What If...? S1,Animated Series,4,...Doctor Strange Lost His Heart Instead of His Hands?,36,
What If...? S1,Animated Series,5,...Zombies?!,31,
What If...? S1,Animated Series,6,...Killmonger Rescued Tony Stark?,33,
What If...? S1,Animated Series,7,...Thor Were an Only Child?,32,
What If...? S1,Animated Series,8,...Ultron Won?,30,
What If...? S1,Animated Series,9,...the Watcher Broke His Oath?,35,
Hawkeye S1,TV Series,1,Never Meet Your Heroes,49,
Hawkeye S1,TV Series,2,Hide and Seek,51,
Hawkeye S1,TV Series,3,Echoes,43,
Hawkeye S1,TV Series,4,"Partners, Am I Right?",40,
Hawkeye S1,TV Series,5,Ronin,44,
Hawkeye S1,TV Series,6,So This Is Christmas?,61,
Moon Knight S1,TV Series,1,The Goldfish Problem,45,
Moon Knight S1,TV Series,2,Summon the Suit,50,
Moon Knight S1,TV Series,3,The Friendly Type,50,
Moon Knight S1,TV Series,4,The Tomb,53,
Moon Knight S1,TV Series,5,Asylum,50,
Moon Knight S1,TV Series,6,Gods and Monsters,42,
Ms. Marvel S1,TV Series,1,Generation Why,49,
Ms. Marvel S1,TV Series,2,Crushed,51,
Ms. Marvel S1,TV Series,3,Destined,47,
Ms. Marvel S1,TV Series,4,Seeing Red,48,
Ms. Marvel S1,TV Series,5,Time and Again,41,
Ms. Marvel S1,TV Series,6,No Normal,49,
I Am Groot S1,Animated Series,1,Short 1,5,ESTIMATE
I Am Groot S1,Animated Series,2,Short 2,5,ESTIMATE
I Am Groot S1,Animated Series,3,Short 3,5,ESTIMATE
I Am Groot S1,Animated Series,4,Short 4,5,ESTIMATE
I Am Groot S1,Animated Series,5,Short 5,5,ESTIMATE
She-Hulk: Attorney at Law S1,TV Series,1,A Normal Amount of Rage,38,
She-Hulk: Attorney at Law S1,TV Series,2,Superhuman Law,30,
She-Hulk: Attorney at Law S1,TV Series,3,The People vs. Emil Blonsky,34,
She-Hulk: Attorney at Law S1,TV Series,4,Is This Not Real Magic?,36,
She-Hulk: Attorney at Law S1,TV Series,5,"Mean, Green, and Straight Poured into These Jeans",31,
She-Hulk: Attorney at Law S1,TV Series,6,Just Jen,31,
She-Hulk: Attorney at Law S1,TV Series,7,The Retreat,35,
She-Hulk: Attorney at Law S1,TV Series,8,Ribbit and Rip It,36,
She-Hulk: Attorney at Law S1,TV Series,9,Whose Show Is This?,35,
Werewolf by Night (special),Special,1,Werewolf by Night,53,
Guardians of the Galaxy Holiday Special,Special,1,The Guardians of the Galaxy Holiday Special,42,
Secret Invasion S1,TV Series,1,Resurrection,55,Ep3/Ep5 estimated
Secret Invasion S1,TV Series,2,Promises,58,Ep3/Ep5 estimated
Secret Invasion S1,TV Series,3,Betrayed,50,Ep3/Ep5 estimated
Secret Invasion S1,TV Series,4,Beloved,38,Ep3/Ep5 estimated
Secret Invasion S1,TV Series,5,Harvest,45,Ep3/Ep5 estimated
Secret Invasion S1,TV Series,6,Home,38,Ep3/Ep5 estimated
I Am Groot S2,Animated Series,1,Short 1,5,ESTIMATE
I Am Groot S2,Animated Series,2,Short 2,5,ESTIMATE
I Am Groot S2,Animated Series,3,Short 3,5,ESTIMATE
I Am Groot S2,Animated Series,4,Short 4,5,ESTIMATE
I Am Groot S2,Animated Series,5,Short 5,5,ESTIMATE
Loki S2,TV Series,1,Ouroboros,47,
Loki S2,TV Series,2,Breaking Brad,51,
Loki S2,TV Series,3,1893,55,
Loki S2,TV Series,4,Heart of the TVA,50,
Loki S2,TV Series,5,Science/Fiction,46,
Loki S2,TV Series,6,Glorious Purpose,58,
What If...? S2,Animated Series,1,...Nebula Joined the Nova Corps?,31,Partial estimate
What If...? S2,Animated Series,2,...Peter Quill Attacked Earth's Mightiest Heroes?,32,Partial estimate
What If...? S2,Animated Series,3,...Happy Hogan Saved Christmas?,29,Partial estimate
What If...? S2,Animated Series,4,...Iron Man Crashed Into the Grandmaster?,34,Partial estimate
What If...? S2,Animated Series,5,...Captain Carter Fought the Hydra Stomper?,33,Partial estimate
What If...? S2,Animated Series,6,...Kahhori Reshaped the World?,34,Partial estimate
What If...? S2,Animated Series,7,...Hela Found the Ten Rings?,31,Partial estimate
What If...? S2,Animated Series,8,...The Avengers Assembled in 1602?,32,Partial estimate
What If...? S2,Animated Series,9,...Strange Supreme Intervened?,33,Partial estimate
Echo S1,TV Series,1,Chafa,49,Flag E4 for verification
Echo S1,TV Series,2,Lowak,39,Flag E4 for verification
Echo S1,TV Series,3,Tuklo,42,Flag E4 for verification
Echo S1,TV Series,4,Taloa,51,Flag E4 for verification
Echo S1,TV Series,5,Maya,37,Flag E4 for verification
X-Men '97 S1,Animated Series,1,"To Me, My X-Men",32,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,2,Mutant Liberation Begins,32,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,3,Fire Made Flesh,32,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,4,Motendo / Lifedeath – Part 1,29,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,5,Remember It,36,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,6,Lifedeath – Part 2,33,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,7,Bright Eyes,34,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,8,Tolerance Is Extinction – Part 1,33,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,9,Tolerance Is Extinction – Part 2,31,ESTIMATE - no Wikipedia per-ep table
X-Men '97 S1,Animated Series,10,Tolerance Is Extinction – Part 3,42,ESTIMATE - no Wikipedia per-ep table
Agatha All Along S1,TV Series,1,Seekest Thou the Road,40,Partial estimate
Agatha All Along S1,TV Series,2,Circle Sewn with Fate / Unlock Thy Secret,41,Partial estimate
Agatha All Along S1,TV Series,3,Through Many Miles / Of Tricks and Trials,37,Partial estimate
Agatha All Along S1,TV Series,4,If I Can't Reach You / Let My Song Teach You,44,Partial estimate
Agatha All Along S1,TV Series,5,Darkest Hour / Wake Thy Power,32,Partial estimate
Agatha All Along S1,TV Series,6,Familiar by Thy Side,47,Partial estimate
Agatha All Along S1,TV Series,7,Death's Hand in Mine,36,Partial estimate
Agatha All Along S1,TV Series,8,Follow Me My Friend / To Glory at the End,49,Partial estimate
Agatha All Along S1,TV Series,9,Maiden Mother Crone,42,Partial estimate
What If...? S3,Animated Series,1,Episode 1,31,Partial estimate; CORRECTED to 8 eps
What If...? S3,Animated Series,2,...Agatha Went to Hollywood?,30,Partial estimate; CORRECTED to 8 eps
What If...? S3,Animated Series,3,Episode 3,33,Partial estimate; CORRECTED to 8 eps
What If...? S3,Animated Series,4,Episode 4,33,Partial estimate; CORRECTED to 8 eps
What If...? S3,Animated Series,5,Episode 5,33,Partial estimate; CORRECTED to 8 eps
What If...? S3,Animated Series,6,Episode 6,32,Partial estimate; CORRECTED to 8 eps
What If...? S3,Animated Series,7,Episode 7,28,Partial estimate; CORRECTED to 8 eps
What If...? S3,Animated Series,8,Episode 8,34,Partial estimate; CORRECTED to 8 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,1,Episode 1,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,2,Episode 2,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,3,Episode 3,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,4,Episode 4,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,5,Episode 5,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,6,Episode 6,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,7,Episode 7,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,8,Episode 8,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,9,Episode 9,30,ESTIMATE - 10 eps
Your Friendly Neighborhood Spider-Man S1,Animated Series,10,Episode 10,30,ESTIMATE - 10 eps
Daredevil: Born Again S1,TV Series,1,Heaven's Half Hour,58,ESTIMATE - not Wikipedia-sourced
Daredevil: Born Again S1,TV Series,2,Optics,47,ESTIMATE - not Wikipedia-sourced
Daredevil: Born Again S1,TV Series,3,The Hollow of His Hand,44,ESTIMATE - not Wikipedia-sourced
Daredevil: Born Again S1,TV Series,4,Sic Semper Systema,52,ESTIMATE - not Wikipedia-sourced
Daredevil: Born Again S1,TV Series,5,With Interest,39,ESTIMATE - not Wikipedia-sourced
Daredevil: Born Again S1,TV Series,6,Excessive Force,42,ESTIMATE - not Wikipedia-sourced
Daredevil: Born Again S1,TV Series,7,Art for Art's Sake,40,ESTIMATE - not Wikipedia-sourced
Daredevil: Born Again S1,TV Series,8,Isle of Joy,47,ESTIMATE - not Wikipedia-sourced
Daredevil: Born Again S1,TV Series,9,Straight to Hell,57,ESTIMATE - not Wikipedia-sourced
Ironheart S1,TV Series,1,Episode 1,41,ESTIMATE
Ironheart S1,TV Series,2,Episode 2,48,ESTIMATE
Ironheart S1,TV Series,3,Episode 3,53,ESTIMATE
Ironheart S1,TV Series,4,Episode 4,50,ESTIMATE
Ironheart S1,TV Series,5,Episode 5,57,ESTIMATE
Ironheart S1,TV Series,6,Episode 6,40,ESTIMATE
Eyes of Wakanda S1,Animated Series,1,Episode 1,30,ESTIMATE - 4 eps
Eyes of Wakanda S1,Animated Series,2,Episode 2,30,ESTIMATE - 4 eps
Eyes of Wakanda S1,Animated Series,3,Episode 3,30,ESTIMATE - 4 eps
Eyes of Wakanda S1,Animated Series,4,Episode 4,28,ESTIMATE - 4 eps
Wonder Man S1,TV Series,1,Matinee,33,Sonarr (user library) - confirmed
Wonder Man S1,TV Series,2,Self-Tape,32,Sonarr (user library) - confirmed
Wonder Man S1,TV Series,3,Pacoima,32,Sonarr (user library) - confirmed
Wonder Man S1,TV Series,4,Doorman,30,Sonarr (user library) - confirmed
Wonder Man S1,TV Series,5,Found Footage,24,Sonarr (user library) - confirmed
Wonder Man S1,TV Series,6,Callback,34,Sonarr (user library) - confirmed
Wonder Man S1,TV Series,7,Kathy Friedman,33,Sonarr (user library) - confirmed
Wonder Man S1,TV Series,8,Yucca Valley,32,Sonarr (user library) - confirmed
The Punisher: One Last Kill (special),Special,1,The Punisher: One Last Kill,48,Corrected via user's own library data
VisionQuest S1,TV Series,1,Episode 1,30,UNRELEASED - pure placeholder
VisionQuest S1,TV Series,2,Episode 2,30,UNRELEASED - pure placeholder
VisionQuest S1,TV Series,3,Episode 3,30,UNRELEASED - pure placeholder
VisionQuest S1,TV Series,4,Episode 4,30,UNRELEASED - pure placeholder
VisionQuest S1,TV Series,5,Episode 5,30,UNRELEASED - pure placeholder
VisionQuest S1,TV Series,6,Episode 6,30,UNRELEASED - pure placeholder
VisionQuest S1,TV Series,7,Episode 7,30,UNRELEASED - pure placeholder
VisionQuest S1,TV Series,8,Episode 8,30,UNRELEASED - pure placeholder
Daredevil: Born Again S2,TV Series,1,Episode 1,45,ESTIMATE - needs research
Daredevil: Born Again S2,TV Series,2,Episode 2,45,ESTIMATE - needs research
Daredevil: Born Again S2,TV Series,3,Episode 3,45,ESTIMATE - needs research
Daredevil: Born Again S2,TV Series,4,Episode 4,45,ESTIMATE - needs research
Daredevil: Born Again S2,TV Series,5,Episode 5,45,ESTIMATE - needs research
Daredevil: Born Again S2,TV Series,6,Episode 6,45,ESTIMATE - needs research
Daredevil: Born Again S2,TV Series,7,Episode 7,45,ESTIMATE - needs research
Daredevil: Born Again S2,TV Series,8,Episode 8,45,ESTIMATE - needs research
X-Men '97 S2,Animated Series,1,Episode 1,33,"ESTIMATE - needs research, still airing"
X-Men '97 S2,Animated Series,2,Episode 2,33,"ESTIMATE - needs research, still airing"
X-Men '97 S2,Animated Series,3,Episode 3,33,"ESTIMATE - needs research, still airing"
X-Men '97 S2,Animated Series,4,Episode 4,33,"ESTIMATE - needs research, still airing"
X-Men '97 S2,Animated Series,5,Episode 5,33,"ESTIMATE - needs research, still airing"
X-Men '97 S2,Animated Series,6,Episode 6,33,"ESTIMATE - needs research, still airing"
X-Men '97 S2,Animated Series,7,Episode 7,33,"ESTIMATE - needs research, still airing"
X-Men '97 S2,Animated Series,8,Episode 8,33,"ESTIMATE - needs research, still airing"
X-Men '97 S2,Animated Series,9,Episode 9,33,"ESTIMATE - needs research, still airing"
